subcategoria,campo_unificado,var,var_alias,description,5,6,is_category,values
Datos Personales,dia_nacimiento,nac_dia,dia_nacimiento,Día,privado,abierta,FALSE,"{'min': 1.0, 'max': 31.0}"
Datos Personales,mes_nacimiento,nac_mes,mes_nacimiento,Mes,privado,abierta,FALSE,"{'min': 1.0, 'max': 12.0}"
Datos Personales,anio_nacimiento,nac_anio,ano_nacimiento,Año,privado,abierta,FALSE,"{'min': 1933.0, 'max': 1995.0}"
Datos Personales,edad_paciente,edad,edad_paciente,Edad del Paciente,visible,abierta,FALSE,"{'min': 19.0, 'max': 81.0}"
Datos Personales,puesto_laboral,id_puesto,puesto_laboral,¿Qué puesto ocupas?,visible,options,TRUE,"{'options': {'1': 'INVESTIGADOR ASOCIADO C TIEMPO COMPLETO', '2': 'INVESTIGADOR EMERITO', '3': 'INVESTIGADOR TITULAR A TIEMPO COMPLETO', '4': 'INVESTIGADOR TITULAR B TIEMPO COMPLETO', '5': 'INVESTIGADOR TITULAR C TIEMPO COMPLETO', '6': 'TECNICO ACADEMICO ASOCIADO A TIEMPO COMPLETO', '7': 'TECNICO ACADEMICO ASOCIADO B TIEMPO COMPLETO', '8': 'TECNICO ACADEMICO TITULAR A DE TIEMPO COMPLETO', '9': 'TECNICO ACADEMICO TITULAR B DE TIEMPO COMPLETO', '10': 'TECNICO ACADEMICO ASOCIADO C TIEMPO COMPLETO', '11': 'FUNCIONARIO COORDINADOR', '12': 'FUNCIONARIO SECRETARIO ACADEMICO', '13': 'FUNCIONARIO SECRETARIO TECNICO', '14': 'FUNCIONARIO SECRETARIO ADMINISTRATIVO', '15': 'FUNCIONARIO JEFE DE DEPARTAMENTO', '16': 'ASISTENTE EJECUTIVO', '17': 'AYUDANTE DE DIRECTOR', '18': 'ASISTENTE DE PROCESOS', '19': 'JEFE DE AREA', '20': 'AUXILIAR DE INTENDENCIA A', '21': 'AUXILIAR DE INTENDENCIA B', '22': 'AUXILIAR DE INTENDENCIA C', '23': 'AUXILIAR DE INTENDENCIA CM', '24': 'AUXILIAR DE CONTAB', '25': 'AUXILIAR DE LABORATORIO C', '26': 'GESTOR ADMINISTRATIVO A', '27': 'OFICIAL DE TRANSPORTE B', '28': 'OFICIAL DE SERV ADMVOS', '29': 'ELECTRICISTA A', '30': 'PEON A', '31': 'JEFE DE TALLER A', '32': 'JEFE DE SERVICIOS', '33': 'JEFE DE LABORATORIO B', '34': 'BIBLIOTECARIO C', '35': 'SECRETARIO CM', '36': 'SECRETARIO B', '37': 'SECRETARIO BILINGÜE', '38': 'SECRETARIO BILINGÜE A', '39': 'SECRETARIO BILINGÜE C', '40': 'SECRETARIO BILINGÜE CM', '41': 'TECNICO A', '42': 'TECNICO B', '43': 'TECNICO C', '44': 'TEC. EN FABRIC. DE APARAT Y EQUIP DE INV A', '45': 'VIGILANTE B', '46': 'VIGILANTE C', '47': 'VIGILANTE CM', '48': 'ESTUDIANTES ASOCIADOS', '49': 'ESTUDIANTES DE LICENCIATURA', '50': 'ESTUDIANTES DE MAESTRÍA', '51': 'ESTUDIANTES DE DOCTORADO', '52': 'ESTUDIANTES DE SERVICIO SOCIAL'}, 'is_category': 'true'}"
Datos Personales,sexo,id_sexo,sexo,Sexo,visible,options,TRUE,"{'options': {'F': 'FEMENINO', 'M': 'MASCULINO', 'O': 'OTRO'}, 'is_category': 'true'}"
Datos Personales,estado_civil,id_edociv,estado_civil,Estado civil,visible,options,TRUE,"{'options': {'C': 'CASADO', 'S': 'SEPARADO', 'U': 'UNIÓN LIBRE', 'D': 'DIVORCIADO', 'O': 'OTRO'}, 'is_category': 'true'}"
Datos Personales,grado_estudios,id_gestud,grado_estudios,¿cuál es tu máximo grado de estudios?,visible,options,TRUE,"{'options': {'N': 'NINGUNO', 'P': 'PRIMARIA', 'S': 'SECUNDARIA', 'B': 'BACHILLERATO', 'T': 'CARRERA TÉCNICA', 'L': 'LICENCIATURA', 'M': 'MAESTRÍA', 'D': 'DOCTORADO', 'Z': 'POST-DOCTORADO', 'O': 'OTRO'}, 'is_category': 'true'}"
Datos Personales,numero_familiares_unam,num_fam,numero_familiares_unam,¿Cuántos familiares trabajan en la UNAM?,visible,abierta,FALSE,"{'min': 0.0, 'max': 30.0}"
Antecedentes Personales,tienes_obesidad,dich_obes,tiene_obesidad,¿Alguna vez le ha dicho un médico/dietista/nutriólogo que tiene o tuvo obesidad?,visible,options,TRUE,"{'options': {1: 'SI', 2: 'NO', 3: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_dx_obesidad,edad_obes,edad_diagnostico_obes,¿Aproximadamente a qué edad se le diagnosticó Obesidad?,,abierta,FALSE,"{'min': 1.0, 'max': 72.0}"
Antecedentes Personales,tiene_diab_tipo2,dich_diab,tiene_diab_tipo2,¿Alguna vez le ha dicho un médico/dietista/nutriólogo que tiene o tuvo diabetes tipo 2?,visible,options,TRUE,"{'options': {1: 'SI', 2: 'NO', 3: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
